Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Basic Industry*
2003,"$500,000","$400,000","$100,000","$9,700,000","$1,900,000","$19,600,000","$4,900,000","$5,900,000","$18,700,000","$5,600,000","$44,800,000","$2,200,000","$3,700,000","$19,300,000","$3,200,000","$140,600,000"
2004,"$2,900,000","$600,000","$300,000","$4,600,000","$100,000","$24,600,000","$3,800,000","$8,200,000","$6,600,000","$25,400,000","$23,600,000","$7,800,000","$18,700,000","$10,200,000","$200,000","$137,700,000"
2005,"$3,000,000","< $50,000","$400,000","$8,100,000","< $50,000","$27,400,000","$600,000","$9,800,000","$12,900,000","$4,500,000","$10,500,000","$1,600,000","$13,300,000","$23,600,000","$12,100,000","$128,000,000"
2006,"$3,100,000","$200,000","$900,000","$2,400,000","$500,000","$47,300,000","$4,400,000","$14,000,000","$7,700,000","$2,800,000","$13,500,000","$1,000,000","$9,900,000","$20,900,000","$200,000","$129,100,000"
2007,"$1,600,000","< $50,000","$100,000","$2,100,000","< $50,000","$24,600,000","$1,400,000","$9,300,000","$90,000,000","$43,100,000","$20,300,000","$1,800,000","$106,000,000","$22,400,000","$100,000","$322,900,000"
2008,"$10,400,000","$400,000","$100,000","$15,000,000","< $50,000","$42,800,000","$4,200,000","$15,500,000","$18,000,000","$10,000,000","$12,600,000","$2,200,000","$17,700,000","$19,000,000","$4,500,000","$172,300,000"
2009,"$3,900,000","< $50,000","$200,000","$4,500,000","< $50,000","$17,600,000","$300,000","$3,000,000","$5,600,000","$10,600,000","$25,000,000","$5,200,000","$22,100,000","$17,800,000","$3,900,000","$119,700,000"
2010,"$4,600,000","$2,600,000","$100,000","$6,900,000","$100,000","$19,500,000","$100,000","$60,900,000","$10,200,000","$12,500,000","$15,300,000","$2,000,000","$20,000,000","$53,200,000","$200,000","$208,300,000"
2011,"$1,200,000","$100,000","< $50,000","$2,900,000","< $50,000","$11,200,000","$1,800,000","$6,800,000","$4,400,000","$54,600,000","$7,500,000","$51,100,000","$22,800,000","$64,200,000","$800,000","$229,400,000"
2012,"$600,000","$600,000","< $50,000","$6,000,000","$100,000","$53,700,000","$700,000","$29,100,000","$4,800,000","$40,100,000","$7,000,000","$300,000","$6,700,000","$21,700,000","$4,500,000","$176,000,000"
2013,"$5,800,000","$100,000","$100,000","$6,200,000","$200,000","$40,500,000","$3,500,000","$11,100,000","$13,200,000","$4,000,000","$4,500,000","$13,100,000","$66,500,000","$15,700,000","$700,000","$185,100,000"
2014,"$3,200,000","$100,000","$100,000","$15,100,000","$600,000","$44,600,000","$3,200,000","$18,800,000","$13,000,000","$6,700,000","$7,900,000","$8,700,000","$13,700,000","$31,400,000","$2,300,000","$169,500,000"
2015,"$800,000","$100,000","$100,000","$3,900,000","< $50,000","$21,300,000","$600,000","$15,800,000","$14,900,000","$10,000,000","$11,100,000","$2,100,000","$8,400,000","$26,100,000","$600,000","$115,700,000"
2016,"$700,000","< $50,000","$100,000","$9,500,000","$600,000","$30,400,000","$400,000","$12,100,000","$10,000,000","$17,700,000","$27,000,000","$1,100,000","$13,700,000","$12,500,000","$5,200,000","$141,100,000"
2017,"$400,000","$100,000","< $50,000","$3,700,000","< $50,000","$13,800,000","$700,000","$2,600,000","$1,000,000","$7,400,000","$4,000,000","$2,100,000","$7,100,000","$29,700,000","$900,000","$73,500,000"
2018,"$900,000","< $50,000","< $50,000","$800,000","< $50,000","$30,200,000","$4,100,000","$18,700,000","$3,900,000","$153,300,000","$4,600,000","$600,000","$11,100,000","$28,400,000","$1,400,000","$258,000,000"
"Note: In 2018, a $100,500,000 transmitter building fire in Tustin, Michigan, contributed to the dollar-loss increase in the Other Equipment dollar loss estimate.",,,,,,,,,,,,,,,,
