Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Other*
2003,"$6,200,000","$700,000","$100,000","$1,900,000","$1,300,000","$7,600,000","$4,000,000","$5,300,000","$4,000,000","$6,200,000","$4,000,000","$2,200,000","$7,800,000","$12,200,000","$700,000","$64,300,000"
2004,"$4,700,000","$900,000","$600,000","$1,500,000","$700,000","$4,400,000","$400,000","$4,000,000","$2,400,000","$4,800,000","$4,000,000","$1,000,000","$3,800,000","$10,800,000","$1,500,000","$45,500,000"
2005,"$6,100,000","$1,000,000","$1,000,000","$1,800,000","$1,900,000","$25,500,000","$200,000","$4,400,000","$8,200,000","$1,500,000","$1,600,000","$2,500,000","$11,000,000","$14,200,000","$5,000,000","$85,800,000"
2006,"$11,700,000","$500,000","$400,000","$800,000","$900,000","$37,800,000","$400,000","$3,100,000","$8,200,000","$1,800,000","$7,500,000","$1,600,000","$1,400,000","$20,900,000","$16,900,000","$114,000,000"
2007,"$34,400,000","$6,700,000","$1,500,000","$2,100,000","$1,300,000","$28,400,000","$1,600,000","$6,300,000","$12,300,000","$6,300,000","$12,200,000","$39,600,000","$3,600,000","$67,600,000","$3,900,000","$227,700,000"
2008,"$24,000,000","$800,000","$500,000","$2,600,000","$3,000,000","$12,100,000","$600,000","$20,000,000","$37,100,000","$6,600,000","$3,800,000","$800,000","$1,700,000","$41,500,000","$18,300,000","$173,400,000"
2009,"$21,100,000","$1,600,000","$1,500,000","$1,700,000","$1,600,000","$20,100,000","$1,900,000","$5,100,000","$13,300,000","$2,300,000","$6,800,000","$5,800,000","$5,900,000","$24,900,000","$1,500,000","$115,000,000"
2010,"$11,500,000","$500,000","$2,200,000","$1,500,000","$1,000,000","$12,500,000","$500,000","$4,300,000","$11,500,000","$11,900,000","$7,200,000","$2,400,000","$5,500,000","$25,400,000","$4,100,000","$101,900,000"
2011,"$5,700,000","$500,000","$2,600,000","$700,000","$3,100,000","$13,200,000","$3,700,000","$4,200,000","$4,700,000","$2,700,000","$2,400,000","$3,400,000","$4,000,000","$18,900,000","$1,700,000","$71,700,000"
2012,"$51,800,000","$200,000","$1,000,000","$2,300,000","$1,300,000","$8,400,000","$2,800,000","$5,000,000","$8,100,000","$2,400,000","$3,400,000","$6,500,000","$2,400,000","$25,700,000","$2,000,000","$123,500,000"
2013,"$3,400,000","< $50,000","$1,000,000","$4,000,000","$1,600,000","$5,100,000","$4,300,000","$7,500,000","$3,300,000","$2,500,000","$3,300,000","$11,600,000","$2,000,000","$11,800,000","$22,700,000","$83,900,000"
2014,"$3,100,000","< $50,000","$400,000","$3,600,000","$1,300,000","$4,900,000","$1,000,000","$5,600,000","$2,500,000","$1,100,000","$15,000,000","$8,600,000","$6,100,000","$32,300,000","$600,000","$86,100,000"
2015,"$6,000,000","< $50,000","$400,000","$2,200,000","$800,000","$5,300,000","$1,200,000","$3,800,000","$22,000,000","$12,200,000","$1,700,000","$5,300,000","$1,200,000","$12,900,000","$3,300,000","$78,500,000"
2016,"$5,200,000","$100,000","$300,000","$1,500,000","$700,000","$6,400,000","$700,000","$2,200,000","$17,900,000","$4,800,000","$8,700,000","$34,700,000","$1,500,000","$11,700,000","$4,500,000","$101,000,000"
2017,"$3,600,000","$1,000,000","$1,000,000","$500,000","$400,000","$6,300,000","$2,200,000","$4,000,000","$2,200,000","$1,300,000","$1,800,000","$1,900,000","$2,500,000","$16,400,000","$4,800,000","$49,800,000"
2018,"$8,400,000","$100,000","$3,600,000","$900,000","$1,200,000","$3,600,000","$700,000","$4,100,000","$11,000,000","$2,700,000","$4,600,000","$19,300,000","$2,900,000","$11,000,000","$600,000","$74,700,000"
