Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Outside or Special Property*
2003,"$8,300,000","$100,000","$1,600,000","$4,100,000","$700,000","$5,500,000","$1,800,000","$3,400,000","$7,200,000","$18,600,000","$2,000,000","$19,900,000","$1,900,000","$5,400,000","$1,400,000","$81,800,000"
2004,"$52,100,000","< $50,000","$300,000","$800,000","$600,000","$6,400,000","$1,400,000","$4,300,000","$3,100,000","$6,700,000","$35,500,000","$5,200,000","$4,100,000","$10,700,000","$1,300,000","$132,700,000"
2005,"$27,900,000","$1,000,000","$500,000","$4,300,000","$300,000","$10,900,000","$200,000","$8,500,000","$5,100,000","$6,700,000","$5,500,000","$3,200,000","$5,900,000","$3,700,000","$6,200,000","$89,900,000"
2006,"$5,500,000","$2,700,000","$400,000","$3,100,000","$100,000","$7,400,000","$900,000","$2,800,000","$5,500,000","$6,500,000","$3,100,000","$6,700,000","$1,500,000","$4,600,000","$800,000","$51,400,000"
2007,"$5,300,000","$1,500,000","$800,000","$1,100,000","$300,000","$7,500,000","$600,000","$5,400,000","$2,000,000","$6,200,000","$2,100,000","$9,300,000","$6,400,000","$6,300,000","$1,900,000","$56,700,000"
2008,"$3,800,000","$1,600,000","$3,000,000","$3,600,000","$500,000","$6,700,000","$1,200,000","$3,200,000","$5,000,000","$9,000,000","$4,400,000","$6,500,000","$3,700,000","$20,000,000","$1,400,000","$73,500,000"
2009,"$5,100,000","$300,000","$400,000","$2,300,000","$100,000","$11,200,000","$900,000","$5,000,000","$2,700,000","$17,400,000","$6,300,000","$5,800,000","$4,200,000","$13,400,000","$4,200,000","$79,400,000"
2010,"$3,100,000","$100,000","$900,000","$1,200,000","$400,000","$12,200,000","$500,000","$3,800,000","$5,600,000","$17,000,000","$5,500,000","$4,600,000","$3,300,000","$9,000,000","$2,500,000","$69,600,000"
2011,"$5,000,000","$100,000","$400,000","$900,000","$100,000","$7,200,000","$800,000","$9,600,000","$4,200,000","$8,000,000","$7,700,000","$5,700,000","$1,300,000","$9,400,000","$2,200,000","$62,600,000"
2012,"$8,500,000","$100,000","$700,000","$1,900,000","$400,000","$6,500,000","$1,900,000","$5,500,000","$3,300,000","$9,100,000","$6,600,000","$8,200,000","$3,700,000","$11,900,000","$800,000","$69,100,000"
2013,"$2,400,000","$200,000","$300,000","$3,900,000","$600,000","$7,400,000","$1,000,000","$3,900,000","$1,800,000","$5,700,000","$4,400,000","$3,700,000","$4,800,000","$145,000,000","$1,300,000","$186,400,000"
2014,"$16,500,000","$200,000","$200,000","$3,000,000","$600,000","$5,200,000","$3,100,000","$4,700,000","$57,800,000","$5,200,000","$5,300,000","$3,200,000","$3,600,000","$11,400,000","$4,400,000","$124,300,000"
2015,"$8,900,000","< $50,000","$600,000","$1,400,000","$100,000","$4,000,000","$2,000,000","$8,100,000","$1,400,000","$7,600,000","$4,700,000","$10,400,000","$7,600,000","$18,400,000","$1,000,000","$76,200,000"
2016,"$5,300,000","$700,000","$1,200,000","$2,100,000","$600,000","$16,600,000","$5,100,000","$11,700,000","$3,400,000","$15,000,000","$8,700,000","$30,700,000","$5,600,000","$27,500,000","$3,700,000","$137,900,000"
2017,"$6,000,000","$200,000","$900,000","$3,600,000","$1,200,000","$15,300,000","$2,800,000","$5,700,000","$7,400,000","$17,100,000","$10,500,000","$16,300,000","$13,900,000","$22,800,000","$5,600,000","$129,400,000"
2018,"$4,800,000","$900,000","$800,000","$3,100,000","$2,500,000","$15,700,000","$4,300,000","$17,400,000","$9,900,000","$19,500,000","$7,300,000","$14,700,000","$8,200,000","$38,500,000","$2,600,000","$150,200,000"
