Years,Assembly,Eating & Drinking Establishments,Educational,Institutional,Stores and Offices,Basic Industry,Manufacturing,Storage ,Detached Garages,Outside or Special Property Buildings,Other,Total Nonresidential Building*
2003,50,100,125,200,300,25,225,150,150,50,50,"1,400"
2004,75,75,50,200,225,50,200,150,100,50,50,"1,200"
2005,50,100,75,225,250,25,275,175,100,50,75,"1,400"
2006,50,100,75,225,275,50,200,150,100,50,50,"1,350"
2007,50,100,50,225,250,50,175,150,75,100,50,"1,275"
2008,50,100,125,150,300,25,150,175,75,75,50,"1,250"
2009,50,125,100,175,350,50,175,175,125,125,75,"1,500"
2010,75,125,50,175,350,25,150,200,100,75,50,"1,375"
2011,50,100,100,100,250,25,150,150,75,50,50,"1,100"
2012,75,125,50,175,300,50,175,225,125,100,100,"1,450"
2013,75,125,75,200,350,25,175,150,100,75,25,"1,425"
2014,25,100,50,150,300,25,150,200,100,75,25,"1,200"
2015,50,125,50,175,250,25,125,200,125,100,75,"1,325"
2016,75,150,50,175,325,50,225,200,150,100,75,"1,550"
2017,75,150,50,125,275,25,150,175,75,100,50,"1,200"
2018,50,125,50,125,250,25,100,175,50,75,25,"1,025"
