Years,Intentional,Playing with Heat Source,Smoking,Heating ,Cooking,Electrical Malfunction,Appliances ,Open Flame ,Other Heat,Other Equipment,Natural,Exposure,Equipment Malfunction,"Other Unintentional, Careless",Cause Under Investigation,Total Nonresidential Dollar Loss*,,
2003,"$364,600,000.00","$12,100,000.00","$43,900,000.00","$159,300,000.00","$56,900,000.00","$514,600,000.00","$102,300,000.00","$282,100,000.00","$207,200,000.00","$194,600,000.00","$258,100,000.00","$198,000,000.00","$241,100,000.00","$322,000,000.00","$149,400,000.00","$3,106,000,000.00",,
2004,"$324,600,000.00","$12,400,000.00","$26,400,000.00","$118,000,000.00","$70,400,000.00","$403,900,000.00","$58,700,000.00","$280,900,000.00","$173,400,000.00","$300,900,000.00","$170,700,000.00","$119,300,000.00","$224,700,000.00","$452,500,000.00","$98,700,000.00","$2,835,600,000.00",,
2005,"$315,300,000.00","$21,100,000.00","$24,800,000.00","$86,600,000.00","$62,200,000.00","$478,600,000.00","$94,000,000.00","$207,200,000.00","$216,200,000.00","$208,600,000.00","$144,600,000.00","$171,300,000.00","$206,500,000.00","$332,600,000.00","$178,300,000.00","$2,747,800,000.00",,
2006,"$389,000,000.00","$9,400,000.00","$28,300,000.00","$134,500,000.00","$50,500,000.00","$500,600,000.00","$115,000,000.00","$137,900,000.00","$156,800,000.00","$110,900,000.00","$219,700,000.00","$137,100,000.00","$461,600,000.00","$300,100,000.00","$169,200,000.00","$2,920,500,000.00",,
2007,"$529,700,000.00","$11,900,000.00","$37,900,000.00","$88,400,000.00","$51,100,000.00","$488,600,000.00","$75,700,000.00","$274,300,000.00","$275,700,000.00","$235,700,000.00","$247,900,000.00","$235,400,000.00","$276,700,000.00","$455,700,000.00","$188,200,000.00","$3,473,000,000.00",,
2008,"$406,900,000.00","$34,900,000.00","$65,900,000.00","$184,800,000.00","$59,600,000.00","$645,400,000.00","$154,200,000.00","$364,600,000.00","$278,200,000.00","$248,400,000.00","$196,600,000.00","$180,400,000.00","$339,800,000.00","$634,400,000.00","$232,100,000.00","$4,026,300,000.00",,
2009,"$362,900,000.00","$10,900,000.00","$34,100,000.00","$192,700,000.00","$74,400,000.00","$527,600,000.00","$95,500,000.00","$206,300,000.00","$207,800,000.00","$265,900,000.00","$161,400,000.00","$188,000,000.00","$180,300,000.00","$568,900,000.00","$152,900,000.00","$3,229,900,000.00",,
2010,"$425,600,000.00","$11,400,000.00","$26,500,000.00","$61,900,000.00","$42,700,000.00","$393,800,000.00","$71,700,000.00","$198,100,000.00","$224,100,000.00","$184,200,000.00","$160,700,000.00","$125,000,000.00","$195,100,000.00","$430,500,000.00","$213,400,000.00","$2,764,600,000.00",,
2011,"$206,200,000.00","$4,500,000.00","$18,900,000.00","$52,200,000.00","$47,100,000.00","$337,800,000.00","$68,300,000.00","$258,800,000.00","$139,600,000.00","$539,600,000.00","$196,700,000.00","$189,000,000.00","$195,300,000.00","$309,800,000.00","$155,100,000.00","$2,719,000,000.00",,
2012,"$294,200,000.00","$6,900,000.00","$25,800,000.00","$74,200,000.00","$47,400,000.00","$344,100,000.00","$111,100,000.00","$191,400,000.00","$197,600,000.00","$311,000,000.00","$192,400,000.00","$93,200,000.00","$297,100,000.00","$363,900,000.00","$152,300,000.00","$2,702,500,000.00",,
2013,"$205,100,000.00","$3,200,000.00","$18,000,000.00","$127,400,000.00","$73,200,000.00","$402,300,000.00","$97,100,000.00","$158,900,000.00","$158,600,000.00","$165,500,000.00","$106,000,000.00","$160,600,000.00","$220,400,000.00","$607,600,000.00","$149,400,000.00","$2,653,200,000.00",,
2014,"$205,200,000.00","$2,300,000.00","$13,600,000.00","$213,500,000.00","$56,400,000.00","$312,700,000.00","$155,600,000.00","$228,100,000.00","$241,100,000.00","$146,600,000.00","$167,700,000.00","$154,400,000.00","$209,500,000.00","$409,500,000.00","$216,200,000.00","$2,732,400,000.00",,
2015,"$197,000,000.00","$3,800,000.00","$34,300,000.00","$110,200,000.00","$59,900,000.00","$412,800,000.00","$138,300,000.00","$195,600,000.00","$177,700,000.00","$245,800,000.00","$163,800,000.00","$157,400,000.00","$212,400,000.00","$562,500,000.00","$179,500,000.00","$2,851,100,000.00",,
2016,"$215,600,000.00","$2,700,000.00","$34,800,000.00","$145,800,000.00","$61,300,000.00","$308,500,000.00","$114,200,000.00","$167,200,000.00","$195,100,000.00","$235,700,000.00","$198,100,000.00","$263,900,000.00","$162,600,000.00","$564,500,000.00","$309,500,000.00","$2,979,500,000.00",,
2017,"$229,300,000.00","$5,300,000.00","$28,400,000.00","$101,900,000.00","$49,500,000.00","$442,300,000.00","$118,300,000.00","$181,600,000.00","$172,600,000.00","$233,600,000.00","$155,300,000.00","$146,700,000.00","$237,900,000.00","$480,900,000.00","$202,200,000.00","$2,785,800,000.00",,
2018,"$162,600,000.00","$2,200,000.00","$44,800,000.00","$79,900,000.00","$51,700,000.00","$373,400,000.00","$67,700,000.00","$280,100,000.00","$156,400,000.00","$350,600,000.00","$124,600,000.00","$105,300,000.00","$237,600,000.00","$505,900,000.00","$113,700,000.00","$2,656,600,000.00",,
